0.000000;inf
750.000000;inf
1500.000000;inf
2250.000000;inf
3000.000000;inf
3750.000000;inf
4500.000000;inf
5250.000000;inf
6000.000000;inf
6750.000000;inf
7500.000000;inf
8250.000000;inf
9000.000000;inf
9750.000000;inf
10500.000000;inf
11250.000000;inf
12000.000000;inf
12750.000000;inf
13500.000000;inf
14250.000000;inf
15000.000000;inf
15750.000000;inf
16500.000000;inf
17250.000000;inf
18000.000000;inf
18750.000000;inf
19500.000000;inf
20250.000000;inf
21000.000000;inf
21750.000000;inf
22500.000000;inf
23250.000000;inf
24000.000000;inf
24750.000000;inf
25500.000000;inf
26250.000000;inf
27000.000000;inf
27750.000000;inf
28500.000000;inf
29250.000000;inf
30000.000000;inf
30750.000000;inf
31500.000000;inf
32250.000000;inf
33000.000000;inf
33750.000000;inf
34500.000000;inf
35250.000000;inf
36000.000000;inf
36750.000000;inf
37500.000000;inf
38250.000000;inf
39000.000000;inf
39750.000000;inf
40500.000000;inf
41250.000000;inf
42000.000000;inf
42750.000000;inf
43500.000000;inf
44250.000000;inf
45000.000000;inf
45750.000000;inf
46500.000000;inf
47250.000000;inf
